anio,trimestre,provincia,hasta_512kbps,512kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,mas_30mbps,otros,total
2022,3,Buenos Aires,29.985,27.709,290.315,297.915,267.044,124.19,91.4756105006105,65.821,1194.4546105006102
2022,3,Capital Federal,517.0,5.742,34.371,67.829,51.946,28.692,91.4756105006105,105.477,902.5326105006104
2022,3,Catamarca,71.0,384.0,3.107,5.389,5.099,3.737,50.298,2.208,524.8380000000001
2022,3,Chaco,461.0,987.0,16.782,18.938,8.049,15.828,79.39,3.711,1590.698
2022,3,Chubut,109.0,1.444,45.707,30.94,34.682,15.309,17.563,20.024,274.669
2022,3,Córdoba,99.0,11.312,153.324,111.615,70.989,27.112,650.344,13.873,1137.5690000000002
2022,3,Corrientes,67.0,3.865,23.427,23.948,7.776,21.706,56.95,7.107,211.77900000000002
2022,3,Entre Ríos,107.0,5.549,47.21,46.855,18.263,32.021,102.195,16.759,375.85200000000003
2022,3,Formosa,97.0,307.0,23.538,19.545,6.194,564.0,17.704,589.0,1623.981
2022,3,Jujuy,58.0,1.879,19.135,15.254,36.083,519.0,45.895,0.0,695.246
2022,3,La Pampa,68.0,1.887,61.54,9.653,11.592,5.609,22.731,3.012,184.024
2022,3,La Rioja,18.0,689.0,2.842,3.375,24.219,5.331,50.39,0.0,793.157
2022,3,Mendoza,103.0,2.953,44.232,21.977,48.201,17.243,150.043,4.771,392.42
2022,3,Misiones,51.0,3.749,36.628,20.758,12.676,19.615,80.33,8.35,233.10600000000002
2022,3,Neuquén,134.0,991.0,38.485,14.08,9.2,6.7,78.713,14.858,1287.0359999999998
2022,3,Río Negro,111.0,1.221,32.936,17.86,27.934,13.629,42.596,24.271,271.447
2022,3,Salta,114.0,1.49,32.923,71.199,5.662,1.001,85.661,6.491,318.427
2022,3,San Juan,24.0,2.027,30.324,11.247,22.157,6.78,19.221,11.619,127.375
2022,3,San Luis,60.0,307.0,6.563,20.813,12.061,67.438,13.0,14.815,501.68999999999994
2022,3,Santa Cruz,52.0,6.841,12.342,11.313,11.378,2.333,4.604,647.0,747.811
2022,3,Santa Fe,468.0,11.132,132.709,198.588,70.897,57.455,396.352,20.209,1355.342
2022,3,Santiago Del Estero,178.0,1.384,28.357,58.982,16.087,910.0,12.342,792.0,1997.152
2022,3,Tierra Del Fuego,22.0,831.0,12.002,14.815,20.102,1.752,1.021,3.351,906.0429999999999
2022,3,Tucumán,39.0,2.047,32.571,39.018,25.214,4.348,159.6,280.0,581.798
2022,2,Buenos Aires,30.639,28.323,295.238,307.554,273.954,129.869,91.4756105006105,65.849,1222.90161050061
2022,2,Capital Federal,517.0,5.98,36.036,72.434,55.372,31.571,91.4756105006105,105.607,915.4756105006105
2022,2,Catamarca,71.0,413.0,3.678,6.155,7.165,3.393,43.926,2.207,550.524
2022,2,Chaco,461.0,1.047,17.603,20.109,8.391,15.974,76.271,3.708,604.103
2022,2,Chubut,109.0,1.444,45.804,31.217,34.29,14.526,15.394,20.021,271.69599999999997
2022,2,Córdoba,99.0,11.971,160.486,120.485,71.923,28.645,619.4,13.426,1125.3359999999998
2022,2,Corrientes,67.0,3.937,24.253,24.842,8.001,21.719,55.071,7.107,211.92999999999998
2022,2,Entre Ríos,107.0,5.656,48.637,48.557,18.512,32.355,98.769,16.759,376.24500000000006
2022,2,Formosa,97.0,407.0,23.834,19.706,6.33,591.0,16.326,590.0,1751.196
2022,2,Jujuy,58.0,1.829,19.458,15.79,37.786,549.0,37.391,2.453,721.707
2022,2,La Pampa,68.0,1.887,62.546,9.842,11.8,5.247,17.125,3.012,179.459
2022,2,La Rioja,18.0,728.0,3.179,3.89,23.814,5.481,48.92,0.0,831.2839999999999
2022,2,Mendoza,103.0,2.954,44.961,22.557,64.138,19.543,121.366,3.94,382.45899999999995
2022,2,Misiones,51.0,3.808,37.254,21.712,12.774,19.757,75.107,8.35,229.762
2022,2,Neuquén,134.0,999.0,38.826,15.066,9.205,2.039,76.982,18.717,1293.835
2022,2,Río Negro,111.0,1.227,33.364,17.938,27.168,13.714,41.972,24.27,270.653
2022,2,Salta,114.0,1.53,33.732,72.661,6.012,1.156,81.478,6.494,317.063
2022,2,San Juan,24.0,2.027,30.385,11.276,24.649,3.728,16.701,11.617,124.383
2022,2,San Luis,60.0,306.0,6.84,21.217,11.052,67.438,13.0,14.815,500.36199999999997
2022,2,Santa Cruz,52.0,6.841,12.348,11.369,11.885,2.454,3.592,644.0,744.489
2022,2,Santa Fe,468.0,11.757,138.534,204.381,74.133,58.114,373.888,17.584,1346.391
